suite,scenario,algorithm,runs,avg_estimated_delay_mean,avg_estimated_delay_std,avg_dynamic_operation_reliability_mean,avg_dynamic_operation_reliability_std,avg_dynamic_accuracy_reliability_mean,avg_dynamic_accuracy_reliability_std,avg_total_energy_mean,avg_total_energy_std,rejected_or_failed_count_mean,rejected_or_failed_count_std,runtime_ms_mean,runtime_ms_std
overall,dnn_10,customized,10,531.3595125177924,31.414327230721245,0.1740115828513023,0.032499110781181666,0.7739358949293564,0.031537359450708166,6443.035774589608,677.876758483466,0.1,0.31622776601683794,27620.3,1163.8043984182987
overall,dnn_10,localfirst,10,839.3402408150592,73.43505389368413,0.16859162017384108,0.04058479710454142,0.6051424311973304,0.01971984867315105,8094.997696557022,766.0298394435982,0.1,0.31622776601683794,26278.6,16689.178970551882
overall,dnn_10,maxresource_fast,10,555.6486682718447,43.10215927145019,0.0697286163068101,0.021912688244127888,0.6942066257794511,0.017645392870280975,8795.342938634165,1034.9477577039795,0.2,0.4216370213557839,639.5,1265.9715856035457
overall,dnn_10,proposed,10,693.8786992199338,110.29708739081565,0.1947556636490829,0.04984172314881336,0.8419531222929686,0.05863611835340745,6788.032039174378,757.55786848087,0.0,0.0,33993.9,6880.433924462097
overall,dnn_10,random,10,764.73195485792,89.48392547121752,0.012667124983847769,0.005752947840255,0.7531400038724677,0.03143824475533443,12900.77428097852,931.8543747857634,0.9,1.1005049346146119,268.6,19.822546086043875
overall,dnn_10,rtbl,10,573.7876302089853,60.95530026991963,0.18336927017915935,0.06559664219132863,0.6777894162134419,0.03542717798196397,6698.089127666017,1076.3526341276267,2.4,1.7126976771553504,35.3,5.735852159879995
overall,dnn_20,customized,10,535.0766353099532,44.6018756461597,0.1671715324927565,0.02786504349603967,0.7568299655890192,0.0246819316483421,6218.8671965417525,567.5131698393043,0.2,0.4216370213557839,57598.7,2497.8443172730626
overall,dnn_20,localfirst,10,814.1659769514017,46.00720746220321,0.14994848651913958,0.02654419501497885,0.5933258543052451,0.015254184812841137,7961.08382526057,487.49863265983066,0.3,0.6749485577105528,50753.6,23931.448013951107
overall,dnn_20,maxresource_fast,10,564.4565273962953,37.732919461192864,0.05169227540336312,0.017320268046040855,0.6583040563809731,0.008385207736162725,8542.830212657434,634.1716439668718,0.5,0.7071067811865476,1580.2,2122.1249203988386
overall,dnn_20,proposed,10,655.5840653643265,70.08251618005447,0.1510444272182332,0.029957388777398217,0.8085410393837925,0.032193828171775525,6795.604987167615,597.9375972318448,0.1,0.31622776601683794,73997.1,10289.300909736829
overall,dnn_20,random,10,785.2170773333299,66.79777945192403,0.006564972388995474,0.005255998068536233,0.684396057860181,0.014061599384401277,12891.418978155298,972.3320788261427,1.5,0.97182531580755,582.3,82.72988174374078
overall,dnn_20,rtbl,10,588.6441195206891,83.05858780190533,0.17643077286809344,0.07850388757251676,0.666841188641401,0.07967977317050151,6619.720363091779,922.6839561130827,7.6,4.695151163109069,57.7,19.73744326569849
overall,dnn_30,customized,10,532.6156905443441,41.7765844628004,0.17060182487974096,0.01580195186270182,0.7491385667402943,0.02996757931385233,6074.943995474882,388.1538449874546,0.3,0.48304589153964794,91973.6,3169.951601453176
overall,dnn_30,localfirst,10,812.3391532225962,54.98950945571763,0.1392131824243412,0.025194224950329448,0.5859453993816075,0.012114801610173033,8045.072287116845,539.4169369553376,0.4,0.699205898780101,76484.6,28157.128713307717
overall,dnn_30,maxresource_fast,10,561.578745115951,53.079708748033674,0.054877072274122606,0.025888235748636867,0.6483069356499859,0.009616701896054645,8329.619867700374,698.0907970893251,1.0,0.816496580927726,3117.0,2451.27844195636
overall,dnn_30,proposed,10,619.6885699958403,62.53901868984441,0.1440293227747933,0.03121670447612681,0.7759700878520516,0.03546189641940813,6677.2533176540555,439.46846728929995,0.1,0.31622776601683794,118858.0,17566.741366065085
overall,dnn_30,random,10,781.735885944858,46.65951841242798,0.0037968096117748885,0.0023242629698088596,0.669773598477138,0.012400487523221308,12676.617890150508,644.3264575216282,2.9,1.449137674618944,825.3,46.71675882973428
overall,dnn_30,rtbl,10,537.383348268452,88.79161865342357,0.16496504207195611,0.07478830849725673,0.6370576045443446,0.07061549176342503,6346.981948145996,853.3762539542834,12.2,7.997221739801614,98.6,32.67414880299103
overall,dnn_40,customized,10,531.5570508080675,37.701923344615885,0.15647418150214695,0.012801065298612647,0.7402569107299837,0.02719688717908509,6223.250043911938,204.1654792009483,0.5,0.5270462766947299,133866.9,5269.687139142555
overall,dnn_40,localfirst,10,814.3961786816888,61.91096319010309,0.13302989510251023,0.021238082528849244,0.5813106052985455,0.009910820889269385,8115.565062998636,597.9671273207445,0.4,0.699205898780101,100757.6,30708.55270007581
overall,dnn_40,maxresource_fast,10,560.6089845375865,50.94584654295679,0.05606875363344671,0.019953190284032866,0.6413155230742098,0.011857514263698583,8088.485708949711,721.1668222404687,1.3,1.0593499054713802,4056.0,3173.2489834727926
overall,dnn_40,proposed,10,627.9402739806237,67.86427820999097,0.1303264046540569,0.020301696085760955,0.7756478684789243,0.030100969649853277,6684.623908506364,291.79831813469036,0.1,0.31622776601683794,166048.4,17510.942719720526
overall,dnn_40,random,10,798.8051171934601,59.32106289560723,0.0042359495616267175,0.002479966877593376,0.6641695950826196,0.015296675934260545,12430.607098165183,546.0883112420087,4.3,1.5670212364724212,1208.7,150.44234776152624
overall,dnn_40,rtbl,10,537.4740073029492,70.1623346303999,0.1569165862248038,0.06127277784361579,0.6302167205793492,0.06807450505092391,6542.223620506569,695.8289632638966,15.2,10.517709932405543,149.1,52.03940814421317
overall,dnn_5,customized,10,600.7193030826871,68.61918617155203,0.23237932123209556,0.040343628844734525,0.8428899768836002,0.04953969961941701,6426.090419429881,880.484239362215,0.0,0.0,13120.5,756.4364187131365
overall,dnn_5,localfirst,10,803.8285076882897,120.30921263604861,0.18971616156396498,0.041000238960791434,0.619512497749444,0.02622227339852818,7612.910237770755,1224.8989128695446,0.0,0.0,14129.2,16510.049934644187
overall,dnn_5,maxresource_fast,10,525.6147130846621,40.024633379852936,0.10850494953557357,0.030754894709844424,0.7471383798184045,0.017276270436689542,8632.850778437525,1420.4486547994154,0.2,0.4216370213557839,618.1,1264.0705368855893
overall,dnn_5,proposed,10,817.5935011560657,146.5830678527387,0.25919866539680364,0.05040820699901124,0.9266630555302493,0.03233959826685418,6736.363725700554,1372.1140821537413,0.0,0.0,18540.3,7193.747069504181
overall,dnn_5,random,10,781.8803487837946,155.9711520837646,0.030407208943482218,0.0188056646915646,0.8335375289448281,0.011726265636573141,12698.17576326575,1837.5360906274254,0.6,0.699205898780101,133.2,16.382917933017914
overall,dnn_5,rtbl,10,673.2001124058088,173.8385574795964,0.24589986005440786,0.07654564454043772,0.7342193599985671,0.09223038642925348,5957.743976168937,1374.6241819992758,1.4,1.0749676997731399,18.9,4.976611966656298
