task_id,experiment_layer,protocol_version,suite,scenario,comparison_group,comparison_method,algorithm,repeat,seed,search_budget_id,objective_semantics_version,instance_count,feasible_instances,feasible_rate,mean_candidate_count,mean_evaluations,mean_constraint_rejection_rate,mean_nonconvergence_rate,mean_archive_size,mean_hypervolume,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,search_runtime_ms
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r12:s20260731,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,12,20260731,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,2.8666666666666667,21.833333333333332,0.6532249776545175,0.0,2.8666666666666667,0.3227210087426696,615.3294037780553,0.843766646247004,6767.135152966212,1727.70816530101
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r13:s20260732,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,13,20260732,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.7666666666666666,22.566666666666666,0.5464303307008205,0.0,3.7666666666666666,0.35371665654779194,551.3833336935012,0.8643432314496461,7230.871369510522,1672.3677078261971
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r14:s20260733,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,14,20260733,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,2.8666666666666667,21.966666666666665,0.7068339147033623,0.0,2.8666666666666667,0.3010140598122507,650.5845241718308,0.8502603204857828,6447.2888017603655,1551.7003760905936
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r15:s20260734,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,15,20260734,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,2.7666666666666666,23.066666666666666,0.6164643546705147,0.0,2.7666666666666666,0.3133392640454462,567.3617077379706,0.8597613682287887,8723.822734766472,1721.0575840435922
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r16:s20260735,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,16,20260735,p12_g4_a64,stability_delay_energy_v4,30,29,0.9666666666666667,3.433333333333333,22.233333333333334,0.5578307005900511,0.0,3.433333333333333,0.3439319266864781,641.0568945429377,0.8522198031330861,8388.239727102016,1749.5314190164208
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r17:s20260736,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,17,20260736,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.1666666666666665,22.7,0.5551578101673449,0.0,3.1666666666666665,0.37651145647359885,565.3855993781242,0.8591705289861716,7639.642747088905,1555.0727053778246
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r18:s20260737,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,18,20260737,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.2666666666666666,23.633333333333333,0.5548465477050358,0.0,3.2666666666666666,0.4034523122571667,565.6274870640967,0.8599169162682553,8239.181327721417,1847.8670798940584
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r19:s20260738,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,19,20260738,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,2.8666666666666667,21.533333333333335,0.582801602591682,0.0,2.8666666666666667,0.3443011960432939,525.2335432917812,0.8657312972800782,6544.91704463519,1490.9311259398237
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r0:s20260719,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,0,20260719,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,2.6333333333333333,27.333333333333332,0.7577973955003606,0.0,2.6333333333333333,0.19180385595765495,755.1638543007018,0.8598408081334057,10672.189696916796,1369.0365019720048
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r1:s20260720,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,1,20260720,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,3.5,27.733333333333334,0.7067584934789505,0.0,3.5,0.27039212050942313,651.7117989758162,0.870639782899092,11572.653620484956,1384.3000411288813
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r2:s20260721,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,2,20260721,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,3.433333333333333,28.8,0.7022121382096065,0.0,3.433333333333333,0.24328926841137838,698.6054128380584,0.8647302387184973,12300.827113328814,1380.559252225794
