experiment_layer,protocol_version,workload_mode,suite,scenario,comparison_group,comparison_method,algorithm,candidate_generator_mode,search_budget_id,control_mode,bootstrap_mode_config,online_timing_mode,planning_timing_mode,pool_budget_mode,objective_semantics_version,candidate_prediction_version,observation_semantics_version,workload_semantics_version,planning_semantics_version,candidate_generator_version,availability_estimator_version,availability_model_version,runtime_progress_mode,routing_mode,duplex_mode,energy_model_version,result_schema_version,joint_budget_control_version,joint_action_space_version,pool_allocation_version,online_anytime_revalidation_version,action_predictor_version,control_objective_version,runs,arrival_slots_mean,arrival_slots_std,elapsed_slots_mean,elapsed_slots_std,arrived_requests_mean,arrived_requests_std,accepted_requests_mean,accepted_requests_std,rejected_requests_mean,rejected_requests_std,completed_requests_mean,completed_requests_std,runtime_failed_requests_mean,runtime_failed_requests_std,deadline_missed_requests_mean,deadline_missed_requests_std,unfinished_requests_mean,unfinished_requests_std,goodput_utility_mean,goodput_utility_std,avg_estimated_delay_ms_mean,avg_estimated_delay_ms_std,avg_operational_stability_score_mean,avg_operational_stability_score_std,avg_total_energy_mean,avg_total_energy_std,plan_direct_count_mean,plan_direct_count_std,plan_repaired_count_mean,plan_repaired_count_std,fast_fallback_count_mean,fast_fallback_count_std,per_request_customized_count_mean,per_request_customized_count_std,online_baseline_count_mean,online_baseline_count_std,planning_jobs_started_mean,planning_jobs_started_std,planning_jobs_published_mean,planning_jobs_published_std,planning_jobs_retained_mean,planning_jobs_retained_std,total_planning_runtime_ms_mean,total_planning_runtime_ms_std,total_online_runtime_ms_mean,total_online_runtime_ms_std,avg_online_runtime_ms_mean,avg_online_runtime_ms_std,p95_online_runtime_ms_mean,p95_online_runtime_ms_std,control_decision_count_mean,control_decision_count_std,control_outcome_count_mean,control_outcome_count_std,control_fallback_count_mean,control_fallback_count_std,search_assignments_generated_mean,search_assignments_generated_std,search_constraint_rejected_candidates_mean,search_constraint_rejected_candidates_std,search_nonconverged_candidates_mean,search_nonconverged_candidates_std,search_feasible_candidates_mean,search_feasible_candidates_std,search_pareto_candidates_mean,search_pareto_candidates_std,search_selected_candidates_mean,search_selected_candidates_std,publication_valid_candidates_mean,publication_valid_candidates_std,publication_rejected_candidates_mean,publication_rejected_candidates_std,acceptance_rate_mean,acceptance_rate_std,rejection_rate_mean,rejection_rate_std,completion_rate_mean,completion_rate_std,runtime_failure_rate_mean,runtime_failure_rate_std,deadline_miss_rate_mean,deadline_miss_rate_std,completion_throughput_rps_mean,completion_throughput_rps_std,plan_direct_rate_mean,plan_direct_rate_std,plan_repaired_rate_mean,plan_repaired_rate_std,fast_fallback_rate_mean,fast_fallback_rate_std,per_request_customized_rate_mean,per_request_customized_rate_std,online_baseline_rate_mean,online_baseline_rate_std
system_poisson,poisson_lifecycle_v1,poisson_profile_catalog,generator_ablation,customized,reference,customized,periodic_customized,customized,p12_g4_a64,fixed,prewarm,measured,measured,fixed_total,stability_delay_energy_v4,unified_fixed_point_v3,explicit_snapshot_v1,poisson_profile_catalog_v1,periodic_repository_v1,customized_periodic_pool_v1,empirical_window_beta_v1,slot_up_down_v1,fixed_service_time_v1,fixed_path_v1,full_duplex_shared_heat_v1,deployment_return_energy_v1,periodic_three_objective_v3,discrete_mpc_v1,grid_tkb_v1,arrival_risk_diversity_v1,budgeted_fixed_point_v1,regularized_surrogate_v1,goodput_cost_v1,20,200.0,0.0,205.25,3.4622019157269204,196.8,12.959857049244105,63.15,11.273046569023318,133.65,11.957270415503436,54.9,9.563637273273011,8.25,3.4773704523904114,1.2,0.8944271909999159,0.0,0.0,1.9390439751876527,0.384049983031792,635.1825117638866,79.82646020876717,0.8369511847220787,0.014222489227231646,6261.848025761853,1060.839810288664,24.9,5.200202425209801,17.35,7.0283261464628,20.9,8.620050067017868,0.0,0.0,0.0,0.0,35.1,3.160612865285865,16.3,3.5703457004963304,17.8,3.6360765436908706,17919.2314887885,1206.7336358624157,1083.4429379203357,207.09952818712057,5.523323501403128,1.1237532805084967,10.4039917641785,2.124415134192789,8.2,6.894696665210382,7.2,6.894696665210382,0.0,0.0,2731.3,234.3733189413397,2222.65,237.84432657562073,0.0,0.0,508.65,254.36779732464066,205.15,93.80903053824997,139.35,59.70477808614474,75.7,31.846837403917817,104.65,41.84466890524376,0.3203602112579972,0.052258568550662333,0.6796397887420029,0.05225856855066234,0.2788459728665388,0.04624589101388734,0.12878507433679817,0.04464969799496087,0.02047093959101334,0.017180066924162324,2.6762491120043514,0.4726179297748384,0.12684990914957656,0.027074864265984006,0.08828034489778717,0.03607253870430039,0.1052299572106334,0.040389758493056586,0.0,0.0,0.0,0.0
system_poisson,poisson_lifecycle_v1,poisson_profile_catalog,generator_ablation,customized_with_fallback,reference,customized_with_fallback,periodic_customized,customized_with_fallback,p12_g4_a64,fixed,prewarm,measured,measured,fixed_total,stability_delay_energy_v4,unified_fixed_point_v3,explicit_snapshot_v1,poisson_profile_catalog_v1,periodic_repository_v1,customized_periodic_pool_v1,empirical_window_beta_v1,slot_up_down_v1,fixed_service_time_v1,fixed_path_v1,full_duplex_shared_heat_v1,deployment_return_energy_v1,periodic_three_objective_v3,discrete_mpc_v1,grid_tkb_v1,arrival_risk_diversity_v1,budgeted_fixed_point_v1,regularized_surrogate_v1,goodput_cost_v1,20,200.0,0.0,205.75,3.931987578285246,196.8,12.959857049244105,62.6,12.4663758292372,134.2,13.43835829572238,56.25,11.643272283756152,6.35,3.1834274809261465,1.2,0.8335087534664907,0.0,0.0,2.006594947994595,0.45618878078358077,634.1181615784985,82.1857617874964,0.8294124382082009,0.014498938912526987,5952.192098587013,1150.4938385868518,27.05,7.66725779567005,13.85,8.273451516749223,21.7,9.646924789524217,0.0,0.0,0.0,0.0,24.2,2.726092248506719,13.7,4.268612494895613,9.5,3.1034785237485405,19429.926562134642,668.3269636202756,1047.3315644136164,171.18501079103888,5.320621414323385,0.8040231354666583,9.88156030070968,1.5815354771585406,2.85,1.8431951662948316,1.85,1.8431951662948316,0.0,0.0,2431.65,240.9534296563506,2015.45,214.23166874842954,0.0,0.0,416.2,209.26980821795328,187.45,72.48192152094494,143.0,51.356340253278624,77.8,41.51296563472036,94.75,32.62526466922287,0.31763864511868534,0.05997048572953066,0.6823613548813147,0.05997048572953066,0.28576821735342317,0.058618643156939085,0.10145786008498828,0.04421162448500364,0.0207690756961167,0.014681547879721795,2.7341959542052257,0.5647389908866159,0.13808064643570195,0.04092208063432011,0.0702996333158889,0.04159073942121378,0.1092583653670945,0.04577245099612978,0.0,0.0,0.0,0.0
system_poisson,poisson_lifecycle_v1,poisson_profile_catalog,generator_ablation,lightweight,reference,lightweight,periodic_lightweight,lightweight,not_applicable,fixed,prewarm,measured,measured,fixed_total,stability_delay_energy_v4,unified_fixed_point_v3,explicit_snapshot_v1,poisson_profile_catalog_v1,periodic_repository_v1,customized_periodic_pool_v1,empirical_window_beta_v1,slot_up_down_v1,fixed_service_time_v1,fixed_path_v1,full_duplex_shared_heat_v1,deployment_return_energy_v1,periodic_three_objective_v3,discrete_mpc_v1,grid_tkb_v1,arrival_risk_diversity_v1,budgeted_fixed_point_v1,regularized_surrogate_v1,goodput_cost_v1,20,200.0,0.0,205.1,3.5228576916743988,196.8,12.959857049244105,66.6,11.577655430317396,130.2,16.282376653108237,61.05,11.362333896649375,5.55,3.394655241777332,1.35,1.5312533566021214,0.0,0.0,2.199819714909406,0.4587959884633809,609.2116004441884,87.49105294078078,0.8178818505757611,0.011262011286945954,5620.178847553628,1250.9246775481224,34.7,11.244179780996408,11.8,7.186244169464178,20.1,7.326232606908295,0.0,0.0,0.0,0.0,29.35,3.1999177621011645,16.9,5.280550210566679,11.45,4.871776937249466,18938.69710220024,701.7483623290132,1116.5094324678648,155.23566327825833,5.6831205259084046,0.7913109019228279,10.090627061435953,1.5563515901456095,4.2,3.7919582498256825,3.2,3.7919582498256825,0.0,0.0,3606.0,355.50305350676183,3317.85,290.85740311597436,0.0,0.0,288.15,131.8688642872951,188.65,86.29708478335327,170.65,75.7052977357804,87.8,44.904108357347674,90.45,35.14103164767873,0.3393927116258651,0.061833375080795526,0.660607288374135,0.06183337508079553,0.3115616684927199,0.06257130684748788,0.08370190217193883,0.0477171053939857,0.020024298980772324,0.021796784434389673,2.975882983315406,0.5505576330633016,0.1780495773315915,0.06230592008349895,0.05998717683839753,0.03632323493678794,0.10135595745587604,0.03449605235951323,0.0,0.0,0.0,0.0
