suite,scenario,algorithm,runs,avg_estimated_delay_mean,avg_estimated_delay_std,avg_dynamic_operation_reliability_mean,avg_dynamic_operation_reliability_std,avg_dynamic_accuracy_reliability_mean,avg_dynamic_accuracy_reliability_std,avg_total_energy_mean,avg_total_energy_std,rejected_or_failed_count_mean,rejected_or_failed_count_std,runtime_ms_mean,runtime_ms_std
dynamic,medium,customized,10,532.6156905443441,41.7765844628004,0.17060182487974096,0.01580195186270182,0.7491385667402943,0.02996757931385233,6074.943995474882,388.1538449874546,0.3,0.48304589153964794,95357.6,8079.290868221872
dynamic,medium,localfirst,10,812.3391532225962,54.98950945571763,0.1392131824243412,0.025194224950329448,0.5859453993816075,0.012114801610173033,8045.072287116845,539.4169369553376,0.4,0.699205898780101,76552.9,28219.223496876497
dynamic,medium,maxresource_fast,10,561.578745115951,53.079708748033674,0.054877072274122606,0.025888235748636867,0.6483069356499859,0.009616701896054645,8329.619867700374,698.0907970893251,1.0,0.816496580927726,3131.0,2459.1790409719165
dynamic,medium,proposed,10,644.8742304675291,69.65009142836598,0.14547791326865708,0.026137673331154895,0.7865686639083967,0.037304253490348216,6718.249774703693,361.05568874207177,0.1,0.31622776601683794,122798.9,22141.933456929888
dynamic,medium,random,10,781.735885944858,46.65951841242798,0.0037968096117748885,0.0023242629698088596,0.669773598477138,0.012400487523221308,12676.617890150508,644.3264575216282,2.9,1.449137674618944,842.0,53.13713913597114
dynamic,medium,rtbl,10,537.383348268452,88.79161865342357,0.16496504207195611,0.07478830849725673,0.6370576045443446,0.07061549176342503,6346.981948145996,853.3762539542834,12.2,7.997221739801614,100.4,31.489680849446536
dynamic,strong,customized,10,535.3858498913844,36.36302666304299,0.10173102615254585,0.012098153701251913,0.6937920576070498,0.030038984513888548,6611.271782694523,378.2938559371603,0.8,1.0327955589886444,99953.9,4196.972015632223
dynamic,strong,localfirst,10,803.3929318659223,52.43419488158193,0.11200377290251522,0.02387225216469668,0.5299674205009335,0.008754494953017873,7989.216469938414,501.19894748869643,0.2,0.4216370213557839,79825.3,33216.05768316148
dynamic,strong,maxresource_fast,10,529.1852131548645,38.70311677295741,0.03498594269098939,0.012651202913157142,0.5560673549657674,0.007586143703912719,7889.808020357869,494.5169601180709,0.7,1.0593499054713802,2243.3,3197.861961095604
dynamic,strong,proposed,10,652.1857712011606,77.75407361690165,0.09628087508971786,0.020749472433336198,0.7188184885434232,0.05059267442435456,7023.221766767955,498.5197057561259,0.1,0.31622776601683794,125817.9,17659.45716700639
dynamic,strong,random,10,795.6365201663792,62.51126826456704,0.003471278226807137,0.0027955683575479487,0.6050783710265708,0.015616928448189037,12668.32378049567,599.9042649282958,2.6,1.837873166945363,1054.4,213.3178119353583
dynamic,strong,rtbl,10,520.8856385214957,82.68288868483769,0.10919550822067295,0.03960948354398872,0.5718894884862535,0.04254311329492774,6392.412428091286,716.3158004874302,7.8,4.589843860815601,118.0,18.76758434701233
dynamic,weak,customized,10,527.5880186635447,41.69403279374018,0.3480040814972369,0.022985810954410584,0.8420339126362842,0.01585999884280968,5786.504193413805,272.5490740396195,0.4,0.5163977794943222,90117.2,1456.7774023508189
dynamic,weak,localfirst,10,813.681727403369,54.52341061388865,0.237081469676765,0.028280115331771997,0.733933993805772,0.00836871940890414,8033.462234078169,500.1925125609144,0.5,0.7071067811865476,79021.1,42225.97875571125
dynamic,weak,maxresource_fast,10,558.3407475974643,50.68556005027953,0.14909737608829549,0.043717380818283275,0.7836644309894478,0.008365759626532066,8294.010194139051,556.5358840549274,0.8,0.9189365834726815,2519.3,2757.2689003593555
dynamic,weak,proposed,10,622.622211807185,71.86434024220895,0.32045992458982464,0.022715780746348495,0.8663237222512968,0.024312512119335588,6134.751327507754,254.15040604044984,0.1,0.31622776601683794,115038.2,13659.946158995894
dynamic,weak,random,10,745.5362860435346,43.90046678779568,0.017835932318808617,0.006003532322972608,0.794585553973391,0.007824375242640432,12260.78793483002,598.1898632342129,3.0,1.5634719199411433,864.0,159.09396245266157
dynamic,weak,rtbl,10,533.6137196314123,95.48548983035575,0.24106486579914677,0.06418700664157602,0.7623075357259931,0.0400780284347243,6738.539163278654,639.2990083576159,13.4,8.70759566253637,97.4,39.601346778445134
