experiment_layer,protocol_version,suite,scenario,comparison_group,comparison_method,algorithm,candidate_generator_mode,search_budget_id,bootstrap_mode_config,online_timing_mode,planning_timing_mode,pool_budget_mode,objective_semantics_version,runs,arrival_slots_mean,arrival_slots_std,elapsed_slots_mean,elapsed_slots_std,arrived_requests_mean,arrived_requests_std,accepted_requests_mean,accepted_requests_std,rejected_requests_mean,rejected_requests_std,completed_requests_mean,completed_requests_std,runtime_failed_requests_mean,runtime_failed_requests_std,deadline_missed_requests_mean,deadline_missed_requests_std,unfinished_requests_mean,unfinished_requests_std,goodput_utility_mean,goodput_utility_std,avg_estimated_delay_ms_mean,avg_estimated_delay_ms_std,avg_operational_stability_score_mean,avg_operational_stability_score_std,avg_total_energy_mean,avg_total_energy_std,plan_direct_count_mean,plan_direct_count_std,plan_repaired_count_mean,plan_repaired_count_std,fast_fallback_count_mean,fast_fallback_count_std,per_request_customized_count_mean,per_request_customized_count_std,online_baseline_count_mean,online_baseline_count_std,planning_jobs_started_mean,planning_jobs_started_std,planning_jobs_published_mean,planning_jobs_published_std,planning_jobs_retained_mean,planning_jobs_retained_std,total_planning_runtime_ms_mean,total_planning_runtime_ms_std,total_online_runtime_ms_mean,total_online_runtime_ms_std,avg_online_runtime_ms_mean,avg_online_runtime_ms_std,p95_online_runtime_ms_mean,p95_online_runtime_ms_std,publication_valid_candidates_mean,publication_valid_candidates_std,publication_rejected_candidates_mean,publication_rejected_candidates_std,acceptance_rate_mean,acceptance_rate_std,completion_rate_mean,completion_rate_std,runtime_failure_rate_mean,runtime_failure_rate_std,plan_direct_rate_mean,plan_direct_rate_std,plan_repaired_rate_mean,plan_repaired_rate_std,fast_fallback_rate_mean,fast_fallback_rate_std
system_poisson,poisson_lifecycle_v1,algorithm_baseline,per_request_customized,reference,per_request_customized,per_request_customized,not_applicable,p12_g4_a64,cold_start,measured,measured,fixed_total,stability_delay_energy_v4,20,200.0,0.0,205.1,2.9894551519069754,196.8,12.959857049244105,60.95,13.755286065249319,135.85,13.815609021377918,53.1,12.497999839974394,7.85,2.852053738328889,1.05,1.050062654772261,0.0,0.0,1.9019921365151735,0.4825858746453113,642.8319654857477,92.43373578855339,0.8454926678661254,0.013995471913987858,5954.737642200761,934.6353594783807,0.0,0.0,0.0,0.0,0.0,0.0,60.95,13.755286065249319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16029.457740689395,2193.8155137649214,81.63259195973022,11.477809952526634,132.02659170492552,23.155126407010357,0.0,0.0,0.0,0.0,0.3089809943807341,0.06403106399769784,0.269299531437331,0.059718878511032344,0.12983212476692427,0.043505721089364006,0.0,0.0,0.0,0.0,0.0,0.0
system_poisson,poisson_lifecycle_v1,algorithm_baseline,periodic_customized,reference,periodic_customized,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,stability_delay_energy_v4,20,200.0,0.0,205.25,2.6729640555206244,196.8,12.959857049244105,65.15,11.645080280394897,131.65,13.716202481966931,56.95,10.49047186736612,8.2,2.706716791515818,1.25,1.069923755276638,0.0,0.0,2.022865513121011,0.42839777170611576,632.0085990347676,83.07292380220176,0.8376741163340491,0.014242868155451937,6274.748595132443,1048.3777472169124,29.05,6.668661982105477,16.7,7.908023906467605,19.4,7.782571622068863,0.0,0.0,0.0,0.0,43.15,2.9068883707497264,20.15,4.715874646787224,22.05,4.273233707134384,14019.025918707484,1833.8879462480731,668.2155951391906,114.9228475080606,3.4019279550365082,0.583236576263809,6.279095745412633,1.2301691271866233,83.15,34.01744908286427,118.8,53.122103636215705,0.3310322944306202,0.05685431520609292,0.28944685981529444,0.05184945578065577,0.12640939998393086,0.03720174187232173,0.14795002730987764,0.0344314556544014,0.08549216404268428,0.04103287577824415,0.09759010307805834,0.03574619978643232
system_poisson,poisson_lifecycle_v1,algorithm_baseline,periodic_customized_cold_start,reference,periodic_customized_cold_start,periodic_customized,customized,p12_g4_a64,cold_start,measured,measured,fixed_total,stability_delay_energy_v4,20,200.0,0.0,205.2,3.1220775808830616,196.8,12.959857049244105,62.1,12.834575013979766,134.7,12.620367831823536,54.55,11.856488341388173,7.55,3.913203022427643,1.25,0.9665456669582609,0.0,0.0,1.928984349534261,0.46757693175657083,643.5294336165256,77.59450178763488,0.8357038652936828,0.016746743730633434,6309.929425691307,1067.681082525083,25.85,8.222402005304904,14.9,7.433211390707745,21.35,7.5691548579189405,0.0,0.0,0.0,0.0,38.8,3.887902966083929,17.55,5.325954325159408,20.3,5.181952487137195,15769.768521969672,1912.795788209816,846.3896231492981,217.2170710426997,4.313550839136011,1.1739887411566725,7.867975044064224,2.1431089056539725,73.2,41.48886978202074,117.2,45.90791698721761,0.3147577327945008,0.05924405951699499,0.27677848531892935,0.058015375217196956,0.1228012950193081,0.0603240388454487,0.13148485519575098,0.04135937708110151,0.0755185951617551,0.036790059377266725,0.10775428243699472,0.035597992757226395
system_poisson,poisson_lifecycle_v1,algorithm_baseline,periodic_lightweight,reference,periodic_lightweight,periodic_lightweight,lightweight,not_applicable,prewarm,measured,measured,fixed_total,stability_delay_energy_v4,20,200.0,0.0,205.25,2.844662592146544,196.8,12.959857049244105,68.75,11.493132961171113,128.05,16.06065804511463,63.15,11.1933956091598,5.6,2.137386500526187,1.15,0.9333020044867295,0.0,0.0,2.28527170183798,0.47311176069693023,605.6837920654389,79.78705278746561,0.8167100196316854,0.011337499885920537,5564.290408264209,1093.7983948342167,36.7,8.86210144972755,11.85,8.267087567100354,20.2,7.331259674916216,0.0,0.0,0.0,0.0,40.05,3.1701734968294715,22.0,6.431828748702159,17.05,6.62908265464425,16263.357856322546,1090.1007829321163,663.3407200861257,113.30341735042114,3.3765674061801176,0.577363699356953,5.835796060273424,1.0674239037685345,107.6,55.89972224768582,115.45,46.24132920143829,0.3502818136230267,0.06083637087037972,0.3217071440872477,0.05910908147559409,0.08248495931081057,0.03022729360416063,0.18775665858669266,0.049366026266380224,0.06064954746137506,0.0420895181537404,0.10187560757495895,0.03437019821950123
system_poisson,poisson_lifecycle_v1,algorithm_baseline,random,reference,random,random,not_applicable,p12_g4_a64,cold_start,measured,measured,fixed_total,stability_delay_energy_v4,20,200.0,0.0,206.2,4.16248913385653,196.8,12.959857049244105,89.4,11.591285292703398,107.4,15.149778528865832,73.8,9.827994387676995,15.6,4.794733953433759,2.0,1.6543403837370223,0.0,0.0,2.5069077339912105,0.37932916466405614,619.5487236753336,61.46180124769322,0.8340131171236292,0.015056713128281642,7778.452408561968,1236.4230552160584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.4,11.591285292703398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40577.482286968734,7703.943271963355,206.59413133551007,39.55116037963434,328.5180647508241,77.35017712832676,0.0,0.0,0.0,0.0,0.45527751857016546,0.06070201924884703,0.37580811399873415,0.05059137958982875,0.17386013994050709,0.0452175656640586,0.0,0.0,0.0,0.0,0.0,0.0
system_poisson,poisson_lifecycle_v1,algorithm_baseline,sa,reference,sa,sa,not_applicable,p12_g4_a64,cold_start,measured,measured,fixed_total,stability_delay_energy_v4,6,200.0,0.0,205.33333333333334,3.3862466931200785,203.83333333333334,8.328665359267754,36.5,10.36822067666386,167.33333333333334,15.46178083749303,32.833333333333336,8.931218655181759,3.6666666666666665,1.505545305418162,1.3333333333333333,1.2110601416389966,0.0,0.0,1.084089897247702,0.282993736895685,798.8777627940752,120.2984736080715,0.8380886476732741,0.029727052791290825,6056.699135603104,1236.9018487901844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,10.36822067666386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106973.97019793668,24086.99198339512,522.7994926776541,103.64846075190363,1005.8127848121027,141.45185158963972,0.0,0.0,0.0,0.0,0.17996565091099403,0.05308640635080436,0.16182616810834355,0.045693656028559536,0.09622680745678526,0.023778541201153986,0.0,0.0,0.0,0.0,0.0,0.0
