task_id,suite,scenario,algorithm,repeat,seed,scenario_parameters,avg_estimated_delay,avg_dynamic_operation_reliability,avg_dynamic_accuracy_reliability,avg_total_energy,rejected_or_failed_count,runtime_ms
ablation:wo_dag_init:5864bedd3d:customized:repeat_0:seed_20260719,ablation,wo_dag_init,customized,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",587.0830672502809,0.16738774755571348,0.794100380600383,6486.152386842272,1,104045
ablation:wo_dag_init:5864bedd3d:customized:repeat_1:seed_20260720,ablation,wo_dag_init,customized,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",527.2833016114027,0.1493458861153729,0.7420263382409658,6418.756150438189,0,106518
ablation:wo_dag_init:5864bedd3d:customized:repeat_2:seed_20260721,ablation,wo_dag_init,customized,2,20260721,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",455.73730412059194,0.1548811797350183,0.7224310512886604,6072.348967595463,0,104596
ablation:wo_dag_init:5864bedd3d:customized:repeat_3:seed_20260722,ablation,wo_dag_init,customized,3,20260722,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",555.8461698699509,0.14428074732579904,0.7741081391766771,6326.863336806205,0,110525
ablation:wo_dag_init:5864bedd3d:customized:repeat_4:seed_20260723,ablation,wo_dag_init,customized,4,20260723,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",532.6524536161625,0.1907120758417298,0.7788559504160102,5680.336196367089,0,103794
ablation:wo_dag_init:5864bedd3d:customized:repeat_5:seed_20260724,ablation,wo_dag_init,customized,5,20260724,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",584.8652556752188,0.18218059170384107,0.7582953819876237,5795.634117662149,1,102475
ablation:wo_dag_init:5864bedd3d:customized:repeat_6:seed_20260725,ablation,wo_dag_init,customized,6,20260725,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",530.7520544018362,0.19784270693647088,0.7629753309274658,6294.117087655719,0,107858
ablation:wo_dag_init:5864bedd3d:customized:repeat_7:seed_20260726,ablation,wo_dag_init,customized,7,20260726,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",492.75153099119143,0.1598134905891959,0.7197608518864675,6441.462965649533,0,107268
ablation:wo_dag_init:5864bedd3d:customized:repeat_8:seed_20260727,ablation,wo_dag_init,customized,8,20260727,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",546.464108029217,0.10910809734030331,0.7436483521083829,6728.993288902481,0,111747
ablation:wo_dag_init:5864bedd3d:customized:repeat_9:seed_20260728,ablation,wo_dag_init,customized,9,20260728,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_dag_init"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": false, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",504.32748737902745,0.1709136727213303,0.7293832582854456,5923.430256295094,0,104083
