task_id,suite,scenario,algorithm,repeat,seed,scenario_parameters,avg_estimated_delay,avg_dynamic_operation_reliability,avg_dynamic_accuracy_reliability,avg_total_energy,rejected_or_failed_count,runtime_ms,pareto_point_count,pareto_point_count_mean,pareto_hypervolume,pareto_hypervolume_sum,pareto_hypervolume_std,pareto_postprocess_ms,pareto_hv_version
pareto:dnn_30:e32d64c2ec:proposed:repeat_6:seed_20260725,pareto,dnn_30,proposed,6,20260725,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",692.8319780495277,0.14764748705001915,0.8190873238104868,7018.120011514207,0,147437,1747.0,58.233333333333334,0.07931605516443634,2.3794816549330906,0.06730329823327152,2171.698459016625,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_6:seed_20260725,pareto,dnn_30,customized,6,20260725,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",552.3098214932498,0.16022686552417773,0.7702801621992276,6472.67318092196,0,95374,1800.0,60.0,0.09159873697140791,2.747962109142238,0.05570925434599573,1939.1695829981472,4d_v1
pareto:dnn_30:e32d64c2ec:random:repeat_6:seed_20260725,pareto,dnn_30,random,6,20260725,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",783.9660122413104,0.0030013921941194235,0.6647333245992159,12439.745124375759,2,1613,531.0,18.964285714285715,0.001382097575806199,0.038698732122573576,0.006012044326136844,10024.320166005054,4d_v1
pareto:dnn_30:e32d64c2ec:sa:repeat_6:seed_20260725,pareto,dnn_30,sa,6,20260725,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",881.4526834120286,0.09598299802351237,0.8527524352352093,9050.883655642787,2,26796,1779.0,63.535714285714285,0.02731995945152423,0.7649588646426784,0.0455609261631674,5181.61883301218,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_7:seed_20260726,pareto,dnn_30,proposed,7,20260726,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",577.2936283161274,0.10719918319699955,0.7534776261398863,7050.251885674703,1,149363,1635.0,56.37931034482759,0.05399462798389791,1.5658442115330395,0.05214283296921069,7260.9823329839855,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_7:seed_20260726,pareto,dnn_30,customized,7,20260726,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",506.03273578912007,0.1465138494634397,0.7162725759419708,6549.8736257273395,1,97486,1740.0,60.0,0.0763137889114594,2.213099878432323,0.05944110279507869,2137.735874974169,4d_v1
pareto:dnn_30:e32d64c2ec:random:repeat_7:seed_20260726,pareto,dnn_30,random,7,20260726,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",702.2680505484415,0.0021701287804051558,0.6610780185292858,13416.712635997004,4,1530,430.0,16.53846153846154,0.001047948748738157,0.027246667467192075,0.0030099812048468926,5837.868083996,4d_v1
pareto:dnn_30:e32d64c2ec:sa:repeat_7:seed_20260726,pareto,dnn_30,sa,7,20260726,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",685.9934938229059,0.04925127749626284,0.7531603476397289,10231.316051115291,4,26953,1902.0,73.15384615384616,0.018933816373810357,0.4922792257190692,0.038728378317993264,4540.591708006104,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_8:seed_20260727,pareto,dnn_30,proposed,8,20260727,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",736.9096723769894,0.10968730690277574,0.7973088772029373,7517.292447945766,0,133583,1688.0,56.266666666666666,0.056969073644736315,1.7090722093420891,0.06372325148331821,3121.1129580042325,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_8:seed_20260727,pareto,dnn_30,customized,8,20260727,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",561.8693985559441,0.15580418594092563,0.71490059983055,6578.604376487279,0,98853,1734.0,59.793103448275865,0.08007920378093904,2.3222969096472315,0.06804114746472026,2220.004417002201,4d_v1
pareto:dnn_30:e32d64c2ec:random:repeat_8:seed_20260727,pareto,dnn_30,random,8,20260727,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",838.6374015554093,0.0031654861782688926,0.6617971703693555,13715.26024751445,3,1714,565.0,20.925925925925927,0.0015569751060647184,0.0420383278637474,0.005926359415576517,9919.80745899491,4d_v1
pareto:dnn_30:e32d64c2ec:sa:repeat_8:seed_20260727,pareto,dnn_30,sa,8,20260727,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",867.6744238045065,0.10464811898561581,0.8238785592236935,9498.516643420753,2,26672,1595.0,56.964285714285715,0.04028479070465849,1.1279741397304377,0.06028119045465097,3586.9087500032037,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_9:seed_20260728,pareto,dnn_30,proposed,9,20260728,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",670.8192512096934,0.1473809553228856,0.7979607678298695,6371.1103454670965,0,122329,1722.0,57.4,0.0789372464968036,2.3681173949041083,0.059475271480739736,2174.8640410078224,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_9:seed_20260728,pareto,dnn_30,customized,9,20260728,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",503.07981325961407,0.19553281595538388,0.7237170091572269,5494.112301217771,1,91382,1719.0,59.275862068965516,0.09640717227510089,2.795807995977926,0.05691083693450363,2288.7185419967864,4d_v1
pareto:dnn_30:e32d64c2ec:random:repeat_9:seed_20260728,pareto,dnn_30,random,9,20260728,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",753.5215894494402,0.0053636911793584555,0.6735836564165307,12243.01474096603,2,1485,519.0,18.535714285714285,0.0035824205005191645,0.10030777401453665,0.01246943884645057,6562.056958995527,4d_v1
pareto:dnn_30:e32d64c2ec:sa:repeat_9:seed_20260728,pareto,dnn_30,sa,9,20260728,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",758.6805376351632,0.05137125294250299,0.7922745742276563,9163.531475834217,2,23726,1857.0,66.32142857142857,0.02196613889665696,0.6150518891063951,0.0493840002234449,4228.3951670106035,4d_v1
