suite,scenario,algorithm,runs,avg_estimated_delay_mean,avg_estimated_delay_std,avg_dynamic_operation_reliability_mean,avg_dynamic_operation_reliability_std,avg_dynamic_accuracy_reliability_mean,avg_dynamic_accuracy_reliability_std,avg_total_energy_mean,avg_total_energy_std,rejected_or_failed_count_mean,rejected_or_failed_count_std,runtime_ms_mean,runtime_ms_std,pareto_point_count_mean,pareto_point_count_std,pareto_point_count_mean_mean,pareto_point_count_mean_std,pareto_hypervolume_mean,pareto_hypervolume_std,pareto_hypervolume_sum_mean,pareto_hypervolume_sum_std,pareto_hypervolume_std_mean,pareto_hypervolume_std_std,pareto_postprocess_ms_mean,pareto_postprocess_ms_std
pareto,dnn_30,customized,10,532.6156905443441,41.7765844628004,0.17060182487974096,0.01580195186270182,0.7491385667402943,0.02996757931385233,6074.943995474882,388.1538449874546,0.3,0.48304589153964794,94598.0,2357.9110340393345,1769.4,33.787571679539205,59.77689655172414,0.44214507925094665,0.08960487939585189,0.008234763152398265,2.6526585881110103,0.2493357840583236,0.05961115940243924,0.005519650593682755,2049.5317958993837,150.5036661717557
pareto,dnn_30,proposed,10,646.2056365963506,69.529359885863,0.140284614993263,0.025456040470008733,0.787407564781242,0.03524170849766429,6760.33343970196,442.4572994640342,0.1,0.31622776601683794,122554.3,17121.66155001708,1688.7,33.816662559552896,56.47793103448275,0.9360889242624978,0.07137924732577276,0.01143955259417132,2.135977956974793,0.35259950304060844,0.05948494619161725,0.006272575617199537,5242.30225829815,3060.093436460383
pareto,dnn_30,random,10,781.735885944858,46.65951841242798,0.0037968096117748885,0.0023242629698088596,0.669773598477138,0.012400487523221308,12676.617890150508,644.3264575216282,2.9,1.449137674618944,1512.2,89.67571205924898,507.0,65.62519841239848,18.729761862658414,2.4905807172773136,0.0017578551293638417,0.0009153984867069238,0.04817520544724746,0.026698058673912974,0.006430330430033914,0.0038175140109362104,7368.067504494684,2024.649640349676
pareto,dnn_30,sa,10,793.0537703900951,59.1682822147081,0.09044617724689316,0.044746735960191304,0.8140184719692669,0.04512195136341913,9149.079682601086,818.4084485876517,1.7,1.0593499054713802,25448.1,1174.7916552875804,1819.6,155.54149142770734,64.32653404067197,5.307339542152359,0.03299107456745851,0.017612364798219055,0.9361792172905646,0.5018461642662726,0.0512748153876584,0.012938403172167549,5664.461454201955,2308.4646461016637
