task_id,suite,scenario,algorithm,repeat,seed,dnn_index,individual_index,accuracy,operation,delay_utility,total_energy,energy_satisfaction,estimated_delay,deadline,delay_satisfaction,accuracy_norm,operation_norm,delay_norm,energy_norm,pareto_hv_version
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,0,0.9899999940161593,0.35543735050327363,0.0010727153710477382,7010.773921490569,0.9318933403151439,932.2137325423836,1645.0,0.43330472185873337,0.9899999940161593,0.35543735050327363,0.43330472185873337,0.9318933403151439,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,1,0.7897292180449745,0.13531188315493778,0.0018042872390931833,10042.307619881867,0.8741172378349269,554.2354777738105,1645.0,0.6630787369156167,0.7897292180449745,0.13531188315493778,0.6630787369156167,0.8741172378349269,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,2,0.9217528292123957,0.024235132981271047,0.0015061240970615695,16427.39386205516,0.7524278773410652,663.9559130293369,1645.0,0.5963793841766949,0.9217528292123957,0.024235132981271047,0.5963793841766949,0.7524278773410652,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,3,0.867918877735067,0.06389500250527849,0.002391228704223356,10694.413579431486,0.8616891586857846,418.19504685344964,1645.0,0.7457780870191796,0.867918877735067,0.06389500250527849,0.7457780870191796,0.8616891586857846,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,4,0.9217528292123957,0.024235132981271047,0.0015061240970615695,16427.39386205516,0.7524278773410652,663.9559130293369,1645.0,0.5963793841766949,0.9217528292123957,0.024235132981271047,0.5963793841766949,0.7524278773410652,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,5,0.9899999940161593,0.35543735050327363,0.0010727153710477382,7010.773921490569,0.9318933403151439,932.2137325423836,1645.0,0.43330472185873337,0.9899999940161593,0.35543735050327363,0.43330472185873337,0.9318933403151439,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,6,0.8960845640147952,0.1560305364949523,0.001342323900526778,9062.254134881667,0.8927954635183534,744.976677840246,1645.0,0.5471266396107927,0.8960845640147952,0.1560305364949523,0.5471266396107927,0.8927954635183534,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,7,0.9890602188254775,0.2616828762110814,0.0011859311705453054,9237.180311350618,0.8894616550558231,843.2192565949574,1645.0,0.48740470723710794,0.9890602188254775,0.2616828762110814,0.48740470723710794,0.8894616550558231,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,8,0.938501058732016,0.05975717709602158,0.001352042291403027,11455.6074605611,0.8471820411476235,739.6218345820312,1645.0,0.5503818634759688,0.938501058732016,0.05975717709602158,0.5503818634759688,0.8471820411476235,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,9,0.8834004089467585,0.07800735845034731,0.0017599206964424715,11837.381318674856,0.8399060522439364,568.2074209488042,1645.0,0.6545851544384169,0.8834004089467585,0.07800735845034731,0.6545851544384169,0.8399060522439364,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,0,10,0.9833701893301758,0.2221139838488477,0.0012940105632546187,10129.198403733873,0.8724612407945233,772.7912185545528,1645.0,0.5302181042221564,0.9833701893301758,0.2221139838488477,0.5302181042221564,0.8724612407945233,4d_v1
