experiment_layer,protocol_version,suite,scenario,algorithm,runs,instance_count_mean,instance_count_std,feasible_instances_mean,feasible_instances_std,feasible_rate_mean,feasible_rate_std,mean_candidate_count_mean,mean_candidate_count_std,mean_evaluations_mean,mean_evaluations_std,mean_constraint_rejection_rate_mean,mean_constraint_rejection_rate_std,mean_nonconvergence_rate_mean,mean_nonconvergence_rate_std,mean_archive_size_mean,mean_archive_size_std,mean_hypervolume_mean,mean_hypervolume_std,avg_estimated_delay_ms_mean,avg_estimated_delay_ms_std,avg_operational_stability_score_mean,avg_operational_stability_score_std,avg_total_energy_mean,avg_total_energy_std,search_runtime_ms_mean,search_runtime_ms_std
search_quality,isolated_snapshot_v1,search_quality,customized_medium,customized,20,30.0,0.0,26.5,1.0513149660756935,0.8833333333333334,0.03504383220252311,3.0516666666666667,0.38955290011538113,22.368333333333332,0.7165932234909959,0.6059280893323721,0.04646902942677655,0.0,0.0,3.0516666666666667,0.38955290011538113,0.353464767668044,0.0313244318315563,593.2445689523519,41.13559939548246,0.855200438191693,0.007544185754356924,7484.987315098285,917.4789065888351,1658.5003477171995,107.37255217937162
search_quality,isolated_snapshot_v1,search_quality,no_dag_medium,no_dag_operators,20,30.0,0.0,26.2,1.7044832524535807,0.8733333333333334,0.056816108415119346,2.5516666666666667,0.33024446022419807,29.44166666666667,0.6270580151676279,0.6925573212925934,0.027364244022494526,0.0,0.0,2.5516666666666667,0.33024446022419807,0.2860839680412506,0.028711139760460993,641.0332244374291,25.22322710360748,0.8701959769203291,0.004802619319386386,11040.590809214998,768.490268282019,2341.861841856735,109.26010952959926
search_quality,isolated_snapshot_v1,search_quality,proposed_medium,proposed,20,30.0,0.0,25.35,1.9808291724745766,0.8450000000000001,0.06602763908248589,3.2866666666666666,0.35777087639996635,28.365,0.6616897561042742,0.7181681334409422,0.028371647200904414,0.0,0.0,3.2866666666666666,0.35777087639996635,0.25424927029035704,0.03159029366220484,691.6399571218581,29.157424308471185,0.8616354959637906,0.00480221355594223,12035.950316455052,822.4562586907182,1415.2384834073018,68.46305362212868
search_quality,isolated_snapshot_v1,search_quality,sa_medium,sa,20,30.0,0.0,23.3,2.4516374764204993,0.7766666666666666,0.08172124921401666,4.121666666666667,0.6128521186209979,44.74,0.5392869452867606,0.5498497919456872,0.05746339335114366,0.0,0.0,4.121666666666667,0.6128521186209979,0.31282686035617197,0.0303295137617111,652.1920329212801,46.65343389287029,0.847361941499436,0.008772545336392662,6205.040780095291,668.183836032828,1592.1728583227377,43.198699865061236
